mean_distance_best_1,relevance_score_best_1,mean_distance_n_best_1,relevance_score_n_best_1,ground_truth_distance_best_1,mean_distance_best_2,relevance_score_best_2,mean_distance_n_best_2,relevance_score_n_best_2,ground_truth_distance_best_2
204.71,0.66,156.88,76,72.34,0.7,0.67,0.54,96,0.13
148.49,0.78,101,89,68.63,0.52,0.81,0.57,93,0.34
361.95,0.31,156.66,76,84.76,1.32,0.15,0.84,66,0.5
142.45,0.79,142.78,79,248.12,0.76,0.62,0.72,78,0.34
168.53,0.74,128.8,82,26,0.89,0.51,0.83,67,0.13
225.06,0.61,144.25,79,103.46,0.95,0.46,0.67,84,0.42
257.21,0.54,118.02,85,61.2,0.97,0.44,0.81,69,0.21
208.32,0.65,117.24,85,123.08,0.85,0.54,0.7,80,0.55
189.38,0.69,147.17,78,105.55,0.76,0.62,0.65,85,0.24
277.48,0.49,145.75,79,28.3,0.84,0.55,0.89,61,0.13
172.42,0.73,123.05,84,55.39,0.82,0.56,0.71,79,0.18
178.54,0.71,109.11,87,132.21,0.87,0.53,0.62,88,0.57
247.5,0.56,156.72,76,183.83,1.15,0.3,0.9,60,0.75
147.72,0.78,94.41,90,81.12,0.67,0.69,0.61,89,0.42
278.57,0.49,206.83,65,119.96,0.86,0.54,0.99,51,0.71
158.02,0.76,71.53,95,65.94,0.65,0.71,0.43,107,0.48
375.02,0.28,181.6,71,185.9,1.21,0.24,1.19,31,0.4
141.33,0.8,271.92,51,80.92,0.63,0.72,0.97,53,0.25
139.33,0.8,129.44,82,32.35,0.56,0.78,0.59,91,0.15
201.72,0.66,170.48,73,18.87,0.56,0.79,0.65,85,0.29
159.33,0.76,70.7,95,63.95,0.68,0.69,0.41,109,0.15
235.16,0.59,158.15,76,199.24,1.04,0.38,0.87,63,0.86
155.61,0.77,71.36,95,57.01,0.68,0.68,0.49,101,0.24
320.58,0.4,239.56,58,77.7,0.91,0.49,1,50,0.43
255.23,0.54,109.09,87,69.11,0.87,0.52,0.57,93,0.24
232.1,0.6,190.35,69,104.46,1.03,0.39,1.1,40,0.63
152.53,0.77,141.01,80,81.46,0.71,0.66,0.85,65,0.45
161.17,0.75,109.91,87,59.13,0.76,0.62,0.58,92,0.24
278.89,0.49,148.55,78,91.39,1,0.41,0.91,59,0.33
176.62,0.72,140.93,80,86.71,0.76,0.62,0.61,89,0.55
338.12,0.36,136.75,81,58.02,1.04,0.38,0.97,53,0.33
192.45,0.68,113.64,86,57.96,0.73,0.64,0.57,93,0.21
217.17,0.63,134.07,81,77.88,0.89,0.51,0.76,74,0.3
264.72,0.52,148.61,78,27.18,1.12,0.32,0.77,73,0.07
172.45,0.73,119.12,85,45.5,0.75,0.62,0.63,87,0.25
215.75,0.63,149.21,78,136.05,1.08,0.35,0.94,56,0.49
191.27,0.69,111.86,86,47.81,0.81,0.57,0.81,69,0.15
455.99,0.1,334.17,37,44.48,1.36,0.12,1.42,8,0.66
196.15,0.68,139.22,80,126.1,1.1,0.33,0.61,89,0.8
173.32,0.73,144.83,79,57.87,0.73,0.64,0.71,79,0.14
123.62,0.84,87.88,92,140.24,0.72,0.65,0.68,82,0.9
152.39,0.77,120.95,84,81.3,0.68,0.68,0.57,93,0.19
215.19,0.63,99.54,89,198.63,0.96,0.45,0.68,82,0.75
194.34,0.68,141.31,80,98.5,0.77,0.6,0.78,72,0.25
389.37,0.25,199.99,67,152.92,1.27,0.19,1.2,30,0.64
155.48,0.77,133.66,81,73.31,0.71,0.66,0.69,81,0.2
198.16,0.67,148.08,78,39.38,0.82,0.57,0.76,74,0.18
307.79,0.43,239.05,58,156.78,1.08,0.35,1.01,49,0.72
166.57,0.74,82.26,93,44.96,0.63,0.72,0.38,112,0.33
284.33,0.48,187.97,69,131.63,0.87,0.53,0.83,67,0.9
172.08,0.73,118.76,85,78.68,0.64,0.72,0.54,96,0.18
482.7,0.04,360.24,31,261.67,1.24,0.22,1.35,15,0.83
164.8,0.74,135.9,81,64.18,0.69,0.67,0.74,76,0.11
263.12,0.53,268.9,51,159.01,0.8,0.58,0.71,79,0.57
154.41,0.77,80.37,93,211.68,0.9,0.5,0.69,81,1.21
195.97,0.68,116.75,85,147.99,0.7,0.67,0.62,88,0.62
247.6,0.56,138.02,80,237.55,1.09,0.35,0.79,71,1.1
163.44,0.75,91.85,91,82.49,0.69,0.67,0.54,96,0.67
344.16,0.35,264.4,52,47.63,0.83,0.56,0.93,57,0.16
213.97,0.64,104.16,88,74.31,0.62,0.74,0.52,98,0.17
201.49,0.66,96.87,90,51.71,0.66,0.7,0.51,99,0.38
209.98,0.64,99.84,89,85.7,0.64,0.71,0.42,108,0.39
202.02,0.66,121.5,84,92.43,0.53,0.81,0.6,90,0.41
177.7,0.72,101.41,89,76.07,0.5,0.83,0.55,95,0.56
173.75,0.73,88.71,91,149.97,0.63,0.72,0.47,103,0.61
180.66,0.71,88.41,91,116.63,0.78,0.6,0.54,96,0.24
178.07,0.72,118.98,85,106.73,0.58,0.77,0.59,92,0.34
157.57,0.76,100.75,89,100.2,0.46,0.87,0.53,97,0.58
169.71,0.73,150.07,78,81.92,0.56,0.78,0.69,81,0.2
193.87,0.68,106.64,87,68.74,0.7,0.66,0.72,78,0.33
108.77,0.87,76.97,94,82.67,0.49,0.84,0.45,105,0.54
247.19,0.56,102.3,88,156.08,0.96,0.45,0.54,96,0.85
174.19,0.72,92.94,90,48.78,0.69,0.68,0.38,112,0.16
170.42,0.73,119.02,85,153.39,0.63,0.73,0.68,82,1.04
161.63,0.75,90.82,91,123.62,0.49,0.84,0.5,100,0.38
184.92,0.7,106.68,87,92.96,0.62,0.73,0.54,96,0.44
188.39,0.69,154.48,77,58.44,0.8,0.58,0.81,69,0.02
179.75,0.71,152.8,77,109.43,0.81,0.58,0.72,78,0.85
