,Private_4,Private_17,Private_22,Private_32,Private_46,Private_57,Private_66,Private_79,Private_89,Private_94,Private_103,Private_114,Private_122,Private_132,Private_147
15,,0.3515496656899531,,0.0,1.0,0.0140696135838945,0.34984574945545116,0.3838570301799645,0.36703269237795627,0.2910256754630678,0.24352270844848428,0.5364314359540897,,0.14775755019174053,0.0
16,,0.3525242250379031,,0.0,1.0,0.038381403897932556,0.5185747065869731,0.2734592133510101,0.3688156049061601,0.10789085913606729,0.3490578261361605,0.7117778917316334,,0.02683653939211347,0.1732845669904406
17,,0.0,,0.0,0.0,0.005619356422213897,0.0,0.0275955815055257,0.0,0.12601113204578682,0.061579578387651775,0.22068043764937129,,0.9880397287026774,0.06569133980881159
18,,0.23923234709823016,,0.0,1.0,0.007675173517237306,0.24021910623527573,0.3277532004652406,0.08793248337422153,0.24660493708724898,0.1717078859189742,0.43319756341615273,,0.4934212325371312,0.06569133980881159
19,,0.41405717845680984,,0.0,1.0,0.03710067044735244,0.5533860062435474,0.3260569571149921,0.5178076794972473,0.16809062966473395,0.39816748044552547,0.7323423627103679,,0.03815050233947929,0.24562857156588982
20,,0.2968541379350457,,0.0,1.0,0.0,0.223360915638585,0.4066465888597863,0.21253778826709058,0.3628601798164997,0.2729302763458514,0.4065195235524314,,0.38724047497719016,0.06569133980881159
21,,0.053696410545404256,,0.0,0.5117667107242907,0.01023110410665151,0.14200302067600645,0.0,0.0,0.10789085913606729,0.0,0.358616587513114,,0.9935193201730242,0.06569133980881159
22,,0.22067565139727768,,0.0,0.9850578152406129,0.00031926064402069103,0.1549661935499683,0.36045042102722125,0.05703837418711209,0.3084993610873411,0.22726079903953866,0.35026641666553743,,0.6178572286307465,0.06569133980881159
23,,0.3574086544489151,,0.0,1.0,0.01023110410665151,0.33050484502951744,0.40586430311378124,0.3878112749757345,0.33306104397944736,0.25228921432753765,0.511087797325064,,0.15490427478995572,0.011768324626202137
24,,0.16208317876959943,,0.0,0.9250687880828283,0.007675173517237306,0.18948767986961462,0.26913082373656333,0.0,0.17173655693229828,0.10760168408760273,0.3949157244671845,,0.7098151600921001,0.06569133980881159
25,,0.6162381750665324,,0.0,1.0,1.0,1.0,0.8785908013007114,0.6938675116482383,0.0,0.8288079356149757,0.990066520365131,,0.004626407379233908,0.8374860021050912
26,,0.49610370138674365,,0.0,1.0,0.02942365149286646,0.5437308718602278,0.42350962301830625,0.6178668275012271,0.29471285384824963,0.42140897185041337,0.66681548818331,,0.04304465924117502,0.2920520793782772
27,,0.33787481436195443,,0.0,1.0,0.006396285503905868,0.2893954665351376,0.40857003071052456,0.3283534985488352,0.34288792359141823,0.26267289042113673,0.4739706174975591,,0.2351047682956031,0.05856190554004239
28,,0.7217180679942561,,0.0,1.0,0.1554688610145845,0.8410824191142006,0.5135551014454214,0.7815114035974907,0.3321602346900794,0.7900114317204822,0.7125559952843074,,0.047527442542640776,0.7390878899585229
29,,0.34666523627894114,,0.0,1.0,0.028144763479535023,0.4474809829144928,0.31579687937695977,0.3581197183135882,0.17662961101155414,0.2711769751700407,0.6348155338282481,,0.0648743301208939,0.09510398092921991
30,,0.3027144192130369,,0.0,1.0,0.012790725570563061,0.3119292193727655,0.3525965819534682,0.22319501949448314,0.25854617630919535,0.19348145912708892,0.5025307978521204,,0.2870952577184269,0.058085136037910864
31,,0.1884479819254139,,0.0,1.0,0.020469589962297717,0.299774215190998,0.22751606203035424,0.013626280988497117,0.10789085913606729,0.07246595495869328,0.4997585810700457,,0.5435843195797426,0.06569133980881159
32,,0.42480318166484204,,0.0,1.0,0.02302552055171192,0.4628803034155696,0.3985720057883982,0.5430379833972558,0.293176009884919,0.31595012030368685,0.6366463237638246,,0.0512431210843713,0.15971393829872108
33,,0.67874439531436,,0.0,1.0,0.06388534667461435,0.7494572892955943,0.5038268747426267,0.746199992268927,0.36226683525262954,0.6854005284505509,0.6728684348849997,,0.049218116703123566,0.618685327322449
34,,0.5634982286026706,,0.0,1.0,0.08629449118526898,0.6942934957431751,0.4045178938182644,0.6568886243614583,0.23407850759212429,0.5941624419598266,0.7403730189918603,,0.03724571820718154,0.4885426329019018
35,,0.38377992019987517,,0.0,1.0,0.7633909540356945,0.8076135740479203,0.21226148998325703,0.4448840683236227,0.035894707961273836,0.5026914567160948,1.0,,0.0,0.4875602570325905
36,,0.38084977956087956,,0.0,1.0,0.11990728523262659,0.6043135008286946,0.24818983467436387,0.4304714418927785,0.08374168742013592,0.44830877782279027,0.7995381302834907,,0.017337613838132336,0.2805711621737229
37,,0.17575415254051077,,0.0,1.0,0.02558883289012082,0.3207081739002564,0.1422482066163818,0.0,0.10789085913606729,0.09216394104053259,0.5314076399641402,,0.548699619515088,0.06569133980881159
38,,0.47950000193877856,,0.0,1.0,0.09749814072197197,0.6521333141349869,0.3348337900969854,0.6103062616925861,0.14888487676468443,0.5235957599305896,0.7828927051543833,,0.031195910613510222,0.3907510561501824
39,,0.8750340901893928,,0.0,1.0,0.3301118150428972,0.998558898586777,0.6955604638463931,0.9005942865252162,0.39888247844389274,1.0,0.6764223212305305,,0.0509083152871899,1.0
