,with_overlap,500 characters,1000 characters,1500 characters
344,No Overlap,0.927822871,,
345,No Overlap,,0.687542694,
346,No Overlap,,0.526112616,0.714432343
347,No Overlap,0.534296444,0.85221125,
348,No Overlap,0.864862765,0.779788757,
349,No Overlap,0.823148897,0.832111886,0.838974934
350,No Overlap,0.487866199,0.575379763,
351,No Overlap,0.863148796,0.963646481,0.781862712
352,No Overlap,0.958756785,0.961145553,
353,No Overlap,0.991866987,0.991866987,0.991866987
354,No Overlap,,,
355,No Overlap,0.612585624,,
356,No Overlap,0.812454759,0.676757486,
357,No Overlap,0.673322666,0.745265694,
358,No Overlap,0.84955355,,
359,No Overlap,0.647299567,,
360,No Overlap,0.827374988,0.945578355,0.93147948
361,No Overlap,0.638777895,0.848527188,
362,No Overlap,0.486772319,0.823652829,
363,No Overlap,,,
364,No Overlap,0.862544384,0.862544384,0.862544384
365,No Overlap,0.982742738,0.842529537,
366,No Overlap,1,0.995139243,
367,No Overlap,,0.588778733,0.629651692
368,No Overlap,,,
369,No Overlap,0.534656145,0.447964522,
370,No Overlap,0.792748765,0.954428725,
371,No Overlap,,0.421569634,
372,No Overlap,,0.535589126,
373,No Overlap,0.684221869,0.684221869,0.762381873
374,No Overlap,,,
375,No Overlap,0.994163195,0.994163195,0.991888821
376,No Overlap,0.876373953,0.867258145,0.867258145
377,No Overlap,0.724686415,0.766988449,
378,No Overlap,0.997678749,,
379,No Overlap,0.924641494,0.868698745,
380,No Overlap,0.894817846,0.788567122,
381,No Overlap,0.89824764,0.894121539,0.93778562
382,No Overlap,0.997494358,0.99761668,0.916422337
383,No Overlap,0.9687422,0.892319212,
384,No Overlap,0.664529466,0.831597881,
385,No Overlap,0.991772352,,0.776515493
386,No Overlap,0.757899757,0.993649167,0.993649167
387,No Overlap,,,
388,No Overlap,0.637416994,0.657119636,0.546931123
389,No Overlap,0.935917181,0.937689695,0.935917181
390,No Overlap,0.849536849,0.831454734,0.849536849
391,No Overlap,0.571571481,0.559132337,0.614238613
392,No Overlap,0.337884889,0.626674451,0.656181442
393,No Overlap,,0.536112419,
394,No Overlap,0.794528886,0.912992868,0.827365638
395,No Overlap,0.129435534,0.219758942,0.965878996
396,No Overlap,0.887627132,0.944767699,0.949934865
397,No Overlap,0.664725524,0.458911558,0.869213114
398,No Overlap,0.887587373,,
399,No Overlap,0.993797914,0.869557933,0.979892835
400,No Overlap,0.636899915,0.894927254,0.597477784
401,No Overlap,0.886965158,,
402,No Overlap,,0.747281988,0.76245885
403,No Overlap,0.647777862,0.765344581,0.794133289
404,No Overlap,0.863782434,0.542229925,0.7334838
405,No Overlap,0.966836955,0.975732846,
406,No Overlap,0.962955847,0.893118498,
407,No Overlap,,,0.71414764
408,No Overlap,0.874734377,0.822581933,
409,No Overlap,0.879824227,0.718328934,0.938788869
410,No Overlap,0.899513793,0.971334968,0.899513793
411,No Overlap,,,
412,No Overlap,0.778475149,0.745214187,0.778831119
413,No Overlap,0.76765796,0.815544264,
414,No Overlap,0.664749477,0.333654467,
415,No Overlap,0.329222632,0.762478882,0.892695488
416,No Overlap,0.436671261,0.277331176,0.971371758
417,No Overlap,0.958253364,0.958253364,0.958253364
418,No Overlap,0.632461594,0.647476477,0.558748765
419,No Overlap,,0.396813299,0.753959611
420,No Overlap,0.995727457,1,1
421,No Overlap,,,
422,No Overlap,0.821259121,0.942915782,
423,No Overlap,0.966456284,0.838354347,0.474868756
424,No Overlap,0.585269412,0.666598333,
425,No Overlap,0.881353168,0.886312243,0.881353168
426,No Overlap,0.777696141,0.845159449,0.732851451
427,No Overlap,0.872526978,0.898632797,0.873533819
428,No Overlap,0.895672479,0.326449571,
429,No Overlap,0.623337876,0.984296928,0.876557317
430,No Overlap,0.823132824,,
431,No Overlap,0.885912239,0.969183268,0.94783668
432,No Overlap,0.986348213,0.732817525,0.751591396
433,No Overlap,0.758517526,0.665489432,0.728953634
434,No Overlap,0.967289152,0.911974569,0.746651693
435,No Overlap,,,
436,No Overlap,0.816695455,0.783379366,
437,No Overlap,0.813492757,0.719443953,0.494797224
438,No Overlap,1,0.999692495,1
439,No Overlap,0.493862253,0.476319839,
440,No Overlap,,0.619866294,
441,No Overlap,0.984886196,0.974372159,
442,No Overlap,,0.387448988,
443,No Overlap,,0.921292722,
444,No Overlap,0.962872665,0.768794441,0.764867275
445,No Overlap,0.747524148,0.134513438,
446,No Overlap,0.375994886,0.631751168,0.624637553
447,No Overlap,0.948542178,0.95828988,0.948883496
448,No Overlap,0.768952384,0.853848749,0.639362318
449,No Overlap,1,0.559667534,
450,No Overlap,0.685766938,0.614645982,0.676353827
451,No Overlap,0.465388147,0.585864422,0.582578884
452,No Overlap,0.736569184,0.843558137,0.84929514
453,No Overlap,0.776761815,0.854729335,
454,No Overlap,,,
455,No Overlap,0.652864619,0.777657242,0.739288949
456,No Overlap,0.785617887,0.785617887,0.785617887
457,No Overlap,0.475451735,0.342579737,0.321643626
458,No Overlap,0.914844194,0.991736376,0.967962419
459,No Overlap,,0.792482173,
460,No Overlap,0.996316637,,
461,No Overlap,0.635347386,,
462,No Overlap,0.553391786,0.663898677,0.526754955
463,No Overlap,0.622844989,,
