,embed,gemma,llama2,llama3,llama3-70b,mistral,vicuna
67,qa-cos,0.8806824739340917,0.9162089107294048,0.8708305685748441,0.9268603131460929,0.8741031292576382,0.9151206333159624
68,qa-cos,0.8735982477085611,0.8528585210316189,0.8793332190052465,0.9202166128441618,0.8621405745211148,0.8806188327375837
69,qa-cos,0.7239901085896647,0.8780192655778967,0.8418698854502078,0.8509696204818988,0.8104270806196348,0.828391768696322
70,qa-cos,0.8861538809852444,0.9131116415323648,0.8975230330822224,0.8797077015301786,0.7694831470075267,0.7812364671841988
71,qa-cos,0.7922938106765363,0.8961399321858791,0.8696279171732667,0.8350704608062474,0.8036568639383947,0.6916339231892525
72,qa-cos,0.7924707079503857,0.8853564747569136,0.8075047675500117,0.801910510265906,0.7984739668006984,0.6239204468228645
73,qa-cos,0.7525704723686402,0.807339694483633,0.8105278182446113,0.7840581317157885,0.8417191145452125,0.7668414546083151
74,qa-cos,0.8256540054457259,0.8745122727674906,0.8321664455322568,0.9001591528628385,0.8333465254840589,0.8367836013589353
75,qa-cos,0.7730787110668571,0.8069280459161879,0.8105305910223717,0.7906429109435575,0.7005908188084415,0.8943797530429236
76,qa-cos,0.8143777748299267,0.760062192896084,0.8051014937828025,0.736337740852808,0.7551348372337934,0.7420067480497555
77,qa-cos,0.6921669042126091,0.7055563805455185,0.5779083647912889,0.6208895440143412,0.5969883725860139,0.6871164101625261
78,qa-cos,0.674362614391892,0.7452257574672702,0.5040273673608854,0.4965399097132683,0.6459236304391844,0.6444851284166961
79,qa-cos,0.8799484909883826,0.9029222369252448,0.8252681044247165,0.7091013886020852,0.8737117621540937,0.8890404662967483
80,qa-cos,0.5613636272815791,0.8428020229466744,0.8664800449854134,0.8453859297663282,0.8564427475330142,0.811952249764068
81,qa-cos,0.8230134436807993,0.8609628736115527,0.872956332596464,0.8495821800088379,0.8488322420335926,0.781717435073146
82,qa-cos,0.4981071995285898,0.4730816787290239,0.406816389558142,0.3675940131576778,0.5471955945854046,0.5277866186251151
83,qa-cos,0.7688865178857085,0.8268787929825343,0.7187250062120119,0.7840983825817571,0.7595920607537824,0.7820208507512826
84,qa-cos,0.6146497012715,0.7138433930891821,0.655814675452514,0.58906684323046,0.6139035765823362,0.6507707074376725
85,qa-cos,0.865136758673045,0.8146982683420334,0.8565265228975586,0.8649351780695762,0.873001129806715,0.8625360839630889
86,qa-cos,0.8968886897052314,0.8184842238401024,0.8072260149776812,0.8175643650055897,0.8314286505046772,0.8831434695984492
87,qa-cos,0.7669002625654951,0.7346970128437852,0.8622293856119668,0.8806360333217514,0.7689294653539381,0.8373783320700063
88,qa-cos,0.9093702609142408,0.7147341447082026,0.8889515377227869,0.8889515377227869,0.705785797624884,0.8234445204210878
89,qa-cos,0.8508854102165846,0.9005920652796444,0.8448732787120283,0.7814542507872171,0.8986398974720908,0.95841547377099
90,qa-cos,0.3758525022462976,0.4771091731284354,0.3758114403591488,0.4545386480795216,0.3446007120549679,0.4611743942152904
91,qa-cos,0.7415320642641899,0.8117934533594616,0.8729576325891585,0.7911107428334082,0.8506603937710219,0.8299426793248872
92,qa-cos,0.5875364858871843,0.8131687698796133,0.7406318655354158,0.7738316882701938,0.7598404847759974,0.6538761121983351
93,qa-cos,0.8328707183171625,0.933003066288637,0.9389123769143556,0.9279945697587284,0.9303465653797488,0.9272015479718128
94,qa-cos,0.3482516802103557,0.3886385151518842,0.3661250999289533,0.3805428113162197,0.3951342031125375,0.3800591324714412
95,qa-cos,0.9329228836102808,0.8235137618249869,0.7283782435178149,0.8769552770414353,0.7506058439716055,0.8420181555216204
96,qa-cos,0.7710413988954441,0.6518809502686924,0.8940231463247269,0.8459548096675826,0.7782816250169836,0.8879858266027647
97,qa-cos,0.7716710897363086,0.8165435499123876,0.8991444806283145,0.9219441044470305,0.7877068394640736,0.8595273364542624
98,qa-cos,0.8293408796932905,0.8547181313144315,0.8612691596234245,0.8825580976515872,0.8635520639860088,0.8743889410758793
